,max_number_of_vehicles,vehicle_capacity
C101_beta_15,3,200.0
C102_beta_15,3,200.0
C103_beta_15,3,200.0
C104_beta_15,3,200.0
C105_beta_15,3,200.0
C106_beta_15,3,200.0
C107_beta_15,3,200.0
C108_beta_15,3,200.0
C109_beta_15,3,200.0
C201_beta_15,2,700.0
C202_beta_15,2,700.0
C203_beta_15,2,700.0
C204_beta_15,2,700.0
C205_beta_15,2,700.0
C206_beta_15,2,700.0
C207_beta_15,2,700.0
C208_beta_15,2,700.0
C101_beta_25,4,200.0
C102_beta_25,4,200.0
C103_beta_25,4,200.0
C104_beta_25,4,200.0
C105_beta_25,4,200.0
C106_beta_25,4,200.0
C107_beta_25,4,200.0
C108_beta_25,4,200.0
C109_beta_25,4,200.0
C201_beta_25,3,700.0
C202_beta_25,2,700.0
C203_beta_25,2,700.0
C204_beta_25,2,700.0
C205_beta_25,2,700.0
C206_beta_25,2,700.0
C207_beta_25,2,700.0
C208_beta_25,2,700.0
C101_beta_30,4,200.0
C102_beta_30,4,200.0
C103_beta_30,4,200.0
C104_beta_30,4,200.0
C105_beta_30,4,200.0
C106_beta_30,4,200.0
C107_beta_30,4,200.0
C108_beta_30,4,200.0
C109_beta_30,4,200.0
C201_beta_30,3,700.0
C202_beta_30,2,700.0
C203_beta_30,3,700.0
C204_beta_30,3,700.0
C205_beta_30,3,700.0
C206_beta_30,3,700.0
C207_beta_30,2,700.0
C208_beta_30,2,700.0
C101_beta_40,6,200.0
C102_beta_40,6,200.0
C103_beta_40,5,200.0
C104_beta_40,5,200.0
C105_beta_40,6,200.0
C106_beta_40,6,200.0
C107_beta_40,5,200.0
C108_beta_40,6,200.0
C109_beta_40,5,200.0
C201_beta_40,3,700.0
C202_beta_40,3,700.0
C203_beta_40,3,700.0
C204_beta_40,3,700.0
C205_beta_40,3,700.0
C206_beta_40,3,700.0
C207_beta_40,3,700.0
C208_beta_40,3,700.0
C101_beta_50,6,200.0
C102_beta_50,6,200.0
C103_beta_50,6,200.0
C104_beta_50,6,200.0
C105_beta_50,6,200.0
C106_beta_50,6,200.0
C107_beta_50,6,200.0
C108_beta_50,7,200.0
C109_beta_50,6,200.0
C201_beta_50,3,700.0
C202_beta_50,3,700.0
C203_beta_50,3,700.0
C204_beta_50,3,700.0
C205_beta_50,3,700.0
C206_beta_50,3,700.0
C207_beta_50,3,700.0
C208_beta_50,3,700.0
C101_beta_60,7,200.0
C102_beta_60,7,200.0
C103_beta_60,8,200.0
C104_beta_60,8,200.0
C105_beta_60,7,200.0
C106_beta_60,7,200.0
C107_beta_60,7,200.0
C108_beta_60,8,200.0
C109_beta_60,8,200.0
C201_beta_60,4,700.0
C202_beta_60,3,700.0
C203_beta_60,4,700.0
C204_beta_60,4,700.0
C205_beta_60,3,700.0
C206_beta_60,4,700.0
C207_beta_60,4,700.0
C208_beta_60,4,700.0
C101_beta_70,8,200.0
C102_beta_70,8,200.0
C103_beta_70,8,200.0
C104_beta_70,9,200.0
C105_beta_70,8,200.0
C106_beta_70,9,200.0
C107_beta_70,9,200.0
C108_beta_70,9,200.0
C109_beta_70,8,200.0
C201_beta_70,4,700.0
C202_beta_70,4,700.0
C203_beta_70,4,700.0
C204_beta_70,4,700.0
C205_beta_70,4,700.0
C206_beta_70,4,700.0
C207_beta_70,4,700.0
C208_beta_70,4,700.0
